Detector,Descriptor,Keypoints,Matches,Detector Time(ms),Descriptor Time(ms), Lidar TTC (s), Camera TTC (s) 
SHITOMASI,BRIEF,1759,1148,11.6266,7.5207,14.1696,13.6884
SHITOMASI,BRIEF,1820,1167,10.5303,5.2235,12.1077,14.8169
SHITOMASI,BRIEF,1850,1221,8.2771,4.514,23.7485,14.3827
SHITOMASI,BRIEF,1828,1210,9.2004,4.0454,11.258,13.1113
SHITOMASI,BRIEF,1806,1221,11.2515,6.1736,11.8508,12.3969
SHITOMASI,BRIEF,1877,1155,10.2141,4.7553,11.7508,13.7279
SHITOMASI,BRIEF,1894,1190,9.4134,4.6919,14.0445,16.6164
SHITOMASI,BRIEF,1889,1214,8.1917,4.3676,20.9665,12.8457
SHITOMASI,BRIEF,1917,1205,8.4568,6.4541,12.0742,11.9423
SHITOMASI,BRIEF,1874,1187,10.2177,4.7362,14.0245,13.5328
SHITOMASI,BRIEF,1912,1193,10.4974,4.9588,11.514,11.5668
SHITOMASI,BRIEF,1930,1239,10.0333,5.4402,10.1347,11.9209
SHITOMASI,BRIEF,1880,1249,10.0047,4.6658,8.58689,11.7829
SHITOMASI,BRIEF,1886,1248,8.4414,4.6333,11.1704,11.1083
SHITOMASI,BRIEF,1957,1262,10.8854,5.8614,7.84332,10.9451
SHITOMASI,BRIEF,1888,1281,9.5345,4.5078,8.94999,11.8703
SHITOMASI,BRIEF,1919,1270,8.9235,5.4719,10.0174,11.5895
SHITOMASI,BRIEF,2055,1319,9.561,6.1921,10.7,8.79473
SHITOMASI,ORB,1759,1053,12.2603,3.3156,14.1696,13.6546
SHITOMASI,ORB,1820,1070,10.7075,4.3464,12.1077,12.7751
SHITOMASI,ORB,1850,1116,14.2994,3.454,23.7485,12.5261
SHITOMASI,ORB,1828,1082,13.3347,3.7651,11.258,11.8507
SHITOMASI,ORB,1806,1080,12.354,4.0318,11.8508,12.2747
SHITOMASI,ORB,1877,1042,12.3811,3.877,11.7508,13.5266
SHITOMASI,ORB,1894,1059,13.0772,3.3117,14.0445,12.186
SHITOMASI,ORB,1889,1085,13.5041,4.0587,20.9665,12.1254
SHITOMASI,ORB,1917,1072,12.3867,3.3421,12.0742,11.046
SHITOMASI,ORB,1874,1050,13.1978,4.1126,14.0245,13.4962
SHITOMASI,ORB,1912,1049,12.1505,3.2144,11.514,11.0986
SHITOMASI,ORB,1930,1099,12.3464,4.2585,10.1347,11.7391
SHITOMASI,ORB,1880,1108,12.7461,3.7301,8.58689,11.9134
SHITOMASI,ORB,1886,1099,13.0917,3.6361,11.1704,11.6524
SHITOMASI,ORB,1957,1102,10.7502,3.4555,7.84332,10.6553
SHITOMASI,ORB,1888,1135,11.1551,4.4156,8.94999,11.1729
SHITOMASI,ORB,1919,1165,12.2883,3.7178,10.0174,10.4239
SHITOMASI,ORB,2055,1203,12.9343,3.9884,10.7,8.36986
SHITOMASI,FREAK,1759,812,12.4534,55.4016,14.1696,13.6808
SHITOMASI,FREAK,1820,814,13.2431,56.9018,12.1077,14.9056
SHITOMASI,FREAK,1850,878,10.5262,55.9573,23.7485,12.6506
SHITOMASI,FREAK,1828,851,13.7238,60.584,11.258,12.5425
SHITOMASI,FREAK,1806,874,10.6518,54.1349,11.8508,12.4535
SHITOMASI,FREAK,1877,845,10.5668,55.6017,11.7508,13.7648
SHITOMASI,FREAK,1894,831,10.608,55.4453,14.0445,12.5645
SHITOMASI,FREAK,1889,870,11.8064,54.6095,20.9665,13.1465
SHITOMASI,FREAK,1917,863,12.1314,56.2791,12.0742,12.1911
SHITOMASI,FREAK,1874,860,12.4541,57.1304,14.0245,12.9327
SHITOMASI,FREAK,1912,861,12.6507,56.3266,11.514,11.5524
SHITOMASI,FREAK,1930,885,11.8054,56.0153,10.1347,11.9212
SHITOMASI,FREAK,1880,879,12.4822,55.5887,8.58689,12.561
SHITOMASI,FREAK,1886,886,10.6003,56.6079,11.1704,11.5384
SHITOMASI,FREAK,1957,892,13.8073,58.1273,7.84332,10.297
SHITOMASI,FREAK,1888,899,11.6549,53.4388,8.94999,11.5882
SHITOMASI,FREAK,1919,949,11.5293,54.4116,10.0174,11.6118
SHITOMASI,FREAK,2055,951,11.5286,56.791,10.7,8.40486
SHITOMASI,SIFT,1759,1269,13.2612,46.2643,14.1696,13.9687
SHITOMASI,SIFT,1820,1268,12.5957,17.9765,12.1077,14.6734
SHITOMASI,SIFT,1850,1334,12.5215,17.1697,23.7485,12.7493
SHITOMASI,SIFT,1828,1366,10.6886,15.7371,11.258,12.6347
SHITOMASI,SIFT,1806,1326,12.289,16.3974,11.8508,12.3705
SHITOMASI,SIFT,1877,1294,12.0026,18.3919,11.7508,13.2215
SHITOMASI,SIFT,1894,1318,11.8521,16.3427,14.0445,12.4166
SHITOMASI,SIFT,1889,1345,11.4891,18.0946,20.9665,12.9168
SHITOMASI,SIFT,1917,1354,12.0017,18.9968,12.0742,11.8693
SHITOMASI,SIFT,1874,1332,11.7813,19.386,14.0245,13.403
SHITOMASI,SIFT,1912,1319,12.9224,19.9302,11.514,11.5546
SHITOMASI,SIFT,1930,1387,12.4953,18.7782,10.1347,11.5282
SHITOMASI,SIFT,1880,1394,11.9438,17.9551,8.58689,11.9952
SHITOMASI,SIFT,1886,1374,12.7082,19.309,11.1704,10.7982
SHITOMASI,SIFT,1957,1414,12.2924,20.7247,7.84332,11.9757
SHITOMASI,SIFT,1888,1423,13.1638,19.0473,8.94999,11.0189
SHITOMASI,SIFT,1919,1454,12.2937,19.143,10.0174,11.2317
SHITOMASI,SIFT,2055,1494,12.2559,19.7689,10.7,9.85481
HARRIS,BRIEF,637,498,11.121,3.1929,14.1696,13.0874
HARRIS,BRIEF,663,502,11.9602,2.5946,12.1077,11.5554
HARRIS,BRIEF,649,498,11.496,2.3865,23.7485,13.0836
HARRIS,BRIEF,656,505,11.9221,2.4262,11.258,13.1372
HARRIS,BRIEF,626,490,11.073,2.4344,11.8508,13.2483
HARRIS,BRIEF,639,505,10.8974,2.9891,11.7508,12.4225
HARRIS,BRIEF,605,476,13.9598,4.0093,14.0445,13.5465
HARRIS,BRIEF,647,490,11.9,2.5116,20.9665,13.8294
HARRIS,BRIEF,647,528,10.0328,2.3457,12.0742,12.0033
HARRIS,BRIEF,615,497,11.249,2.4511,14.0245,13.4218
HARRIS,BRIEF,626,471,11.1943,2.3458,11.514,12.8911
HARRIS,BRIEF,643,488,12.6365,2.4122,10.1347,12.4855
HARRIS,BRIEF,622,489,11.3382,2.7573,8.58689,12.0414
HARRIS,BRIEF,635,483,11.6151,2.6014,11.1704,12.784
HARRIS,BRIEF,625,488,12.0154,2.6893,7.84332,9.72657
HARRIS,BRIEF,637,493,12.179,2.5744,8.94999,11.0709
HARRIS,BRIEF,641,497,11.6845,3.1746,10.0174,10.8504
HARRIS,BRIEF,627,501,11.774,2.5622,10.7,12.6898
HARRIS,ORB,637,458,11.4555,1.7728,14.1696,13.0874
HARRIS,ORB,663,461,11.4703,1.8459,12.1077,11.7478
HARRIS,ORB,649,464,11.5606,1.8285,23.7485,19.3729
HARRIS,ORB,656,478,11.3516,2.3421,11.258,14.9945
HARRIS,ORB,626,472,11.8157,2.0821,11.8508,13.2534
HARRIS,ORB,639,455,11.6916,1.9581,11.7508,12.7582
HARRIS,ORB,605,440,11.9651,2.3481,14.0445,13.3377
HARRIS,ORB,647,439,11.4958,2.0184,20.9665,13.2922
HARRIS,ORB,647,465,11.9308,1.8161,12.0742,11.5126
HARRIS,ORB,615,458,11.5867,1.7513,14.0245,13.3261
HARRIS,ORB,626,433,11.5037,1.76,11.514,12.7102
HARRIS,ORB,643,450,11.3631,1.7697,10.1347,12.0356
HARRIS,ORB,622,446,11.4729,1.7472,8.58689,12
HARRIS,ORB,635,458,12.3627,1.8014,11.1704,12.2852
HARRIS,ORB,625,455,10.0605,1.9003,7.84332,9.90905
HARRIS,ORB,637,458,10.1007,1.8012,8.94999,11.7261
HARRIS,ORB,641,462,10.3836,1.771,10.0174,10.8132
HARRIS,ORB,627,446,9.6832,1.8208,10.7,13.041
HARRIS,FREAK,637,375,12.0646,50.3788,14.1696,13.0874
HARRIS,FREAK,663,382,11.9438,46.3067,12.1077,12.0004
HARRIS,FREAK,649,394,10.8166,47.4792,23.7485,17.4261
HARRIS,FREAK,656,390,11.9033,49.4545,11.258,13.8862
HARRIS,FREAK,626,370,12.0351,48.3488,11.8508,11.2249
HARRIS,FREAK,639,357,11.3433,46.7351,11.7508,13.1503
HARRIS,FREAK,605,360,11.1826,48.49,14.0445,12.9475
HARRIS,FREAK,647,352,11.1793,48.5038,20.9665,28.5133
HARRIS,FREAK,647,393,10.8398,45.7847,12.0742,11.7977
HARRIS,FREAK,615,365,10.0243,59.4946,14.0245,12.6285
HARRIS,FREAK,626,352,11.8296,49.5308,11.514,13.0132
HARRIS,FREAK,643,380,11.1137,48.5309,10.1347,12.7745
HARRIS,FREAK,622,383,9.4855,46.0457,8.58689,11.322
HARRIS,FREAK,635,391,11.7536,46.0184,11.1704,12.1399
HARRIS,FREAK,625,351,11.1889,47.7421,7.84332,10.0883
HARRIS,FREAK,637,375,11.1332,46.2311,8.94999,10.5155
HARRIS,FREAK,641,383,11.5142,46.4973,10.0174,10.8452
HARRIS,FREAK,627,373,10.8709,48.397,10.7,11.9259
HARRIS,SIFT,637,528,9.9209,12.8209,14.1696,12.9885
HARRIS,SIFT,663,523,10.1714,11.9627,12.1077,11.5554
HARRIS,SIFT,649,528,11.2876,13.3781,23.7485,15.9499
HARRIS,SIFT,656,528,11.5595,10.888,11.258,18.1567
HARRIS,SIFT,626,523,11.4779,10.7041,11.8508,13.3464
HARRIS,SIFT,639,525,9.8844,11.5281,11.7508,12.4225
HARRIS,SIFT,605,501,14.3879,19.444,14.0445,13.6515
HARRIS,SIFT,647,494,13.0165,13.1583,20.9665,14.4181
HARRIS,SIFT,647,540,11.1428,13.8704,12.0742,11.3799
HARRIS,SIFT,615,523,11.7891,13.5675,14.0245,13.0141
HARRIS,SIFT,626,499,9.7634,11.593,11.514,12.8911
HARRIS,SIFT,643,519,11.478,14.4555,10.1347,12.4855
HARRIS,SIFT,622,525,11.4774,12.382,8.58689,11.9688
HARRIS,SIFT,635,522,12.3148,12.5991,11.1704,12.2852
HARRIS,SIFT,625,544,14.5173,14.9792,7.84332,9.50729
HARRIS,SIFT,637,535,14.017,13.4002,8.94999,11.1183
HARRIS,SIFT,641,534,14.7224,16.0969,10.0174,11.0839
HARRIS,SIFT,627,529,13.28,13.3762,10.7,12.6206
FAST,BRIEF,1898,1305,1.0559,6.0881,14.1696,12.366
FAST,BRIEF,1865,1333,1.1558,9.1187,12.1077,12.2364
FAST,BRIEF,1840,1308,1.1044,7.406,23.7485,17.1302
FAST,BRIEF,1867,1252,1.2138,8.575,11.258,13.119
FAST,BRIEF,1876,1284,1.0746,7.6803,11.8508,21.3581
FAST,BRIEF,1843,1274,0.9934,7.0067,11.7508,13.497
FAST,BRIEF,1829,1242,0.9827,7.2363,14.0445,12.3978
FAST,BRIEF,1843,1237,0.8917,7.2583,20.9665,12.377
FAST,BRIEF,1818,1277,0.9874,6.1968,12.0742,12.6676
FAST,BRIEF,1879,1237,0.9963,6.6829,14.0245,13.1238
FAST,BRIEF,1849,1252,1.1292,6.932,11.514,13.9026
FAST,BRIEF,1826,1275,1.2744,9.1589,10.1347,11.4004
FAST,BRIEF,1842,1246,1.0251,7.1901,8.58689,11.8956
FAST,BRIEF,1833,1265,1.0831,7.6685,11.1704,12.0197
FAST,BRIEF,1921,1238,1.0108,6.2317,7.84332,11.6077
FAST,BRIEF,1934,1297,1.2149,6.0357,8.94999,12.1142
FAST,BRIEF,1946,1348,1.2765,6.9101,10.0174,8.63445
FAST,BRIEF,1961,1355,1.0546,6.6725,10.7,12.2613
FAST,ORB,1898,1220,0.9812,3.4206,14.1696,11.6597
FAST,ORB,1865,1234,1.0162,3.4971,12.1077,14.3325
FAST,ORB,1840,1238,0.9575,3.6846,23.7485,13.7667
FAST,ORB,1867,1188,1.0928,5.3204,11.258,14.2541
FAST,ORB,1876,1232,1.1746,4.1199,11.8508,32.3461
FAST,ORB,1843,1193,1.3841,13.4085,11.7508,12.5645
FAST,ORB,1829,1141,1.1068,4.817,14.0445,12.4677
FAST,ORB,1843,1167,1.0979,5.5261,20.9665,11.7285
FAST,ORB,1818,1171,2.0111,6.2151,12.0742,12.3427
FAST,ORB,1879,1142,2.1007,4.0059,14.0245,13.4637
FAST,ORB,1849,1160,1.5091,3.8257,11.514,13.9017
FAST,ORB,1826,1188,1.0388,3.5532,10.1347,11.2095
FAST,ORB,1842,1157,1.0115,3.6136,8.58689,12.3493
FAST,ORB,1833,1162,1.0335,3.9442,11.1704,11.4307
FAST,ORB,1921,1172,1.3244,5.6146,7.84332,10.9806
FAST,ORB,1934,1244,1.3663,6.2864,8.94999,11.8009
FAST,ORB,1946,1243,1.4083,4.7892,10.0174,10.1545
FAST,ORB,1961,1266,2.3083,10.3467,10.7,12.7404
FAST,FREAK,1898,959,1.1404,55.2809,14.1696,12.1074
FAST,FREAK,1865,950,1.1501,59.6043,12.1077,36.6091
FAST,FREAK,1840,944,0.978,58.4233,23.7485,13.0182
FAST,FREAK,1867,889,0.9921,65.0598,11.258,13.3843
FAST,FREAK,1876,969,0.9658,73.1287,11.8508,46.9006
FAST,FREAK,1843,917,0.9902,57.2698,11.7508,12.3263
FAST,FREAK,1829,886,0.9121,57.066,14.0445,-inf
FAST,FREAK,1843,883,1.002,64.1927,20.9665,11.5105
FAST,FREAK,1818,865,1.4516,63.2201,12.0742,12.3793
FAST,FREAK,1879,897,1.4254,55.0825,14.0245,13.0515
FAST,FREAK,1849,930,1.0128,59.6839,11.514,12.8854
FAST,FREAK,1826,898,1.4857,64.1846,10.1347,11.7171
FAST,FREAK,1842,923,0.9333,55.4557,8.58689,11.8251
FAST,FREAK,1833,952,1.0481,54.4534,11.1704,11.6815
FAST,FREAK,1921,930,1.0947,69.0252,7.84332,11.0296
FAST,FREAK,1934,957,0.9938,55.3223,8.94999,12.6506
FAST,FREAK,1946,1011,1.077,68.3179,10.0174,8.12925
FAST,FREAK,1961,989,1.4689,62.0606,10.7,12.2259
FAST,SIFT,1898,1452,0.9442,33.7111,14.1696,12.3423
FAST,SIFT,1865,1463,1.3274,35.0506,12.1077,15.0889
FAST,SIFT,1840,1403,1.0091,36.8957,23.7485,13.3379
FAST,SIFT,1867,1404,0.9909,36.8472,11.258,13.9149
FAST,SIFT,1876,1460,0.9821,39.2704,11.8508,25.6116
FAST,SIFT,1843,1444,1.159,42.7869,11.7508,13.2848
FAST,SIFT,1829,1398,1.2021,47.8788,14.0445,12.1549
FAST,SIFT,1843,1368,1.1175,46.1018,20.9665,12.6541
FAST,SIFT,1818,1406,1.55,51.554,12.0742,12.8545
FAST,SIFT,1879,1413,1.5003,48.7073,14.0245,13.6544
FAST,SIFT,1849,1369,1.3691,46.0948,11.514,15.0785
FAST,SIFT,1826,1388,3.3908,49.6571,10.1347,11.6823
